path,top_dir,suffix,size_bytes,class,recommendation,delete_risk,reason
data/artifacts/task_399_intraday_universe_history_expansion/task_395_expanded/forward_live_timestamp_regime_panel.csv,data,.csv,102793066,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_399_intraday_universe_history_expansion/task_396_expanded/cost_constrained_lifecycle_panel.csv,data,.csv,289886362,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_399_intraday_universe_history_expansion/task_398_expanded/portfolio_trade_ledger.csv,data,.csv,16349734,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_402_multifactor_continuation_state_discovery/archetype_assignment_panel.csv,data,.csv,12712810,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_402r_decision_labelability_audit/unlabeled_candidate_audit.csv,data,.csv,38923730,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_405_refined_archetype_portfolio_rebuild/refined_archetype_assignment_panel.csv,data,.csv,187794560,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_406_professional_multicombination_test/professional_combo_assignment_panel.csv,data,.csv,85681768,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_406_raw_factor_source_audit/raw_bar_provenance_panel.csv,data,.csv,681195740,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_407_raw_native_vectorized_rebuild/raw_native_entry_candidate_log.csv,data,.csv,354964924,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_407_raw_native_vectorized_rebuild/raw_native_lifecycle_event_log.csv,data,.csv,17671036,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_407_raw_native_vectorized_rebuild/raw_native_lifecycle_labels.csv,data,.csv,10676397,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_480_symbol_structure_continuation_diagnostics/symbol_structure_label_panel.csv,data,.csv,12793495,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_482_continuous_market_theme_regime_engine/daily_regime_source_ohlcv_panel.csv,data,.csv,28729257,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_483_firm_grade_market_theme_regime_upgrade/daily_regime_source_ohlcv_panel.csv,data,.csv,28729257,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_484_continuation_payoff_regime_engine/daily_regime_source_ohlcv_panel.csv,data,.csv,30847977,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_484_continuation_payoff_regime_engine/payoff_regime_lifecycle_panel.csv,data,.csv,101344232,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_548_market_theme_regime_feature_expansion/market_regime_v5_panel.csv,data,.csv,31689112,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_548_market_theme_regime_feature_expansion/theme_regime_v5_panel.csv,data,.csv,5032,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_549_theme_universe_leadership_contract/theme_leadership_panel.csv,data,.csv,7565,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_550_anchored_vwap_band_walk_continuation/symbol_continuation_structure_v2_panel.csv,data,.csv,33804724,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_553_portfolio_realism_simulator/exposure_overlap_audit.csv,data,.csv,3059020,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_553_portfolio_realism_simulator/portfolio_equity_curve.csv,data,.csv,2905006,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_556_vwap_bandwalk_portfolio_revalidation/vwap_bandwalk_assignment_panel.csv,data,.csv,159012197,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_557_vwap_acceptance_ontology_rebuild/vwap_acceptance_ontology_v3_panel.csv,data,.csv,37579809,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_559_context_gate_reattach/context_gate_v3_panel.csv,data,.csv,38174216,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_562_vwap_acceptance_oos_stability_test/vwap_acceptance_oos_stability_audit.csv,data,.csv,1076,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_563_paper_shadow_microstructure_capture_activation/paper_shadow_capture_activation_plan.csv,data,.csv,458,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_567_capital_flow_regime_v6/capital_flow_regime_v6_panel.csv,data,.csv,40436892,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_568_vwap_pullback_sleeve_robustness/vwap_pullback_sleeve_assignment_panel.csv,data,.csv,17118963,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_573_historical_nbbo_feature_rebuild/historical_nbbo_feature_panel.csv,data,.csv,20623127,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
