path,top_dir,suffix,size_bytes,class,recommendation,delete_risk,reason
src/app/__pycache__/main.cpython-313.pyc.2557684757456,src,.2557684757456,5056,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/main.cpython-313.pyc.2613076243408,src,.2613076243408,5073,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/main.cpython-313.pyc.2641767117552,src,.2641767117552,4600,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/nasdaq_market_calendar.cpython-313.pyc,src,.pyc,8922,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/paper_capture_harness_371.cpython-313.pyc,src,.pyc,4874,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/paper_eod_review_081.cpython-313.pyc,src,.pyc,8819,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/paper_one_shot_080.cpython-313.pyc,src,.pyc,7727,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/paper_runtime_common.cpython-313.pyc,src,.pyc,7508,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/pipeline.cpython-313.pyc,src,.pyc,3072,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/pipeline.cpython-313.pyc.1584633574816,src,.1584633574816,2093,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/pipeline.cpython-313.pyc.1883010466080,src,.1883010466080,2346,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/pipeline.cpython-313.pyc.1927870242832,src,.1927870242832,2346,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/pipeline.cpython-313.pyc.1994033356816,src,.1994033356816,2346,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/pipeline.cpython-313.pyc.2005240537344,src,.2005240537344,2093,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/pipeline.cpython-313.pyc.2257424507136,src,.2257424507136,2559,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/pipeline.cpython-313.pyc.2536830361856,src,.2536830361856,2346,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/pipeline.cpython-313.pyc.2557684777488,src,.2557684777488,2346,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/pipeline.cpython-313.pyc.2613076280064,src,.2613076280064,2559,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/pipeline.cpython-313.pyc.2641767137568,src,.2641767137568,2346,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/reconciliation.cpython-313.pyc,src,.pyc,6886,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/report_recent_runs.cpython-313.pyc,src,.pyc,5191,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
