relation_graph_id,symbol,decision_asof_ts,evidence_edge_ids,support_score,risk_score,context_score,blocker_score,net_direction_score,coverage_score,graph_state,critical_blocker_flags,noncritical_gap_flags,confidence_floor,confidence_weighted_mean,diagnostic_only
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2023-03-20|CONT-0011,AAPL,2023-04-18T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-03-20|CONT-0011|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-03-20|CONT-0011|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-03-20|CONT-0011|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2023-04-19|CONT-0012,AAPL,2023-05-17T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-04-19|CONT-0012|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-04-19|CONT-0012|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-04-19|CONT-0012|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2023-05-18|CONT-0013,AAPL,2023-06-16T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-05-18|CONT-0013|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-05-18|CONT-0013|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-05-18|CONT-0013|000003|SCALE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-05-18|CONT-0013|000004|EXIT,0,0,0.175,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2023-06-22|CONT-0014,AAPL,2023-07-21T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-06-22|CONT-0014|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-06-22|CONT-0014|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-06-22|CONT-0014|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2023-09-01|CONT-0015,AAPL,2023-09-13T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-09-01|CONT-0015|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-09-01|CONT-0015|000002|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-09-01|CONT-0015|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2023-10-11|CONT-0016,AAPL,2023-11-08T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-10-11|CONT-0016|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-10-11|CONT-0016|000002|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-10-11|CONT-0016|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2023-11-10|CONT-0017,AAPL,2023-12-11T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-11-10|CONT-0017|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-11-10|CONT-0017|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-11-10|CONT-0017|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2023-12-13|CONT-0018,AAPL,2024-01-04T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-12-13|CONT-0018|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-12-13|CONT-0018|000002|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2023-12-13|CONT-0018|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2024-05-03|CONT-0019,AAPL,2024-06-03T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-05-03|CONT-0019|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-05-03|CONT-0019|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-05-03|CONT-0019|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2024-06-05|CONT-0020,AAPL,2024-07-05T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-06-05|CONT-0020|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-06-05|CONT-0020|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-06-05|CONT-0020|000003|SCALE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-06-05|CONT-0020|000004|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-06-05|CONT-0020|000005|EXIT,0,0,0.21875,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
