timestamp,open,high,low,close,volume,adj_close,symbol
2021-04-22,374.3399963378906,375.44000244140625,370.0299987792969,371.260009765625,2138000,351.49041748046875,COST
2021-04-23,371.260009765625,374.8500061035156,370.4100036621094,373.2799987792969,1404500,353.4029235839844,COST
2021-04-26,373.8999938964844,373.8999938964844,368.2099914550781,368.5199890136719,2059700,348.8963623046875,COST
2021-04-27,368.1700134277344,370.9599914550781,365.2900085449219,370.2099914550781,1875900,350.4963073730469,COST
2021-04-28,369.54998779296875,370.5,368.17999267578125,369.5899963378906,1305600,349.9093322753906,COST
2021-04-29,368.5400085449219,374.7099914550781,368.5299987792969,373.5400085449219,1848300,354.4066162109375,COST
2021-04-30,372.9100036621094,374.1600036621094,371.3299865722656,372.0899963378906,2118900,353.0307922363281,COST
2021-05-03,373.8399963378906,379.6199951171875,372.8900146484375,379.32000732421875,2685800,359.8904724121094,COST
2021-05-04,379.0299987792969,379.2300109863281,373.75,375.2900085449219,2133800,356.06695556640625,COST
2021-05-05,376.3500061035156,377.5199890136719,372.04998779296875,372.5,1905300,353.41986083984375,COST
2021-05-06,373.19000244140625,382.94000244140625,373.19000244140625,382.760009765625,2641400,363.1542663574219,COST
2021-05-07,382.8299865722656,386.45001220703125,382.20001220703125,384.32000732421875,1817100,364.6343688964844,COST
2021-05-10,385.489990234375,387.8900146484375,381.2799987792969,381.4800109863281,1998700,361.9399108886719,COST
2021-05-11,379.30999755859375,380.9200134277344,376.0,378.17999267578125,1859700,358.80889892578125,COST
2021-05-12,376.0,376.94000244140625,371.1099853515625,372.20001220703125,2344600,353.1352233886719,COST
2021-05-13,373.0899963378906,381.44000244140625,371.57000732421875,379.5299987792969,2023100,360.08978271484375,COST
2021-05-14,382.1400146484375,385.82000732421875,380.1000061035156,384.4200134277344,1876100,364.72930908203125,COST
2021-05-17,385.0400085449219,387.04998779296875,382.8999938964844,383.9599914550781,1830800,364.2928161621094,COST
2021-05-18,386.45001220703125,389.45001220703125,382.510009765625,382.80999755859375,1698200,363.20172119140625,COST
2021-05-19,377.1499938964844,381.7300109863281,376.1300048828125,379.6600036621094,1725000,360.213134765625,COST
2021-05-20,379.17999267578125,384.5199890136719,378.2799987792969,383.5799865722656,1427300,363.9323425292969,COST
2021-05-21,385.04998779296875,385.3500061035156,380.42999267578125,380.7200012207031,1706600,361.2188415527344,COST
2021-05-24,384.3399963378906,385.760009765625,381.8900146484375,383.45001220703125,1657000,363.8089294433594,COST
2021-05-25,383.6199951171875,385.739990234375,382.0299987792969,385.3800048828125,1379700,365.64007568359375,COST
2021-05-26,385.8599853515625,387.75,385.0199890136719,385.6199951171875,1648000,365.8677673339844,COST
2021-05-27,385.1300048828125,387.7699890136719,383.5,387.5,4452000,367.6514892578125,COST
2021-05-28,384.1499938964844,385.30999755859375,377.0299987792969,378.2699890136719,4681200,358.8942565917969,COST
2021-06-01,379.92999267578125,380.20001220703125,375.5,378.2300109863281,2117800,358.8564147949219,COST
2021-06-02,378.3800048828125,381.9200134277344,377.7099914550781,380.5899963378906,1881000,361.09539794921875,COST
2021-06-03,379.6400146484375,384.19000244140625,378.8599853515625,383.8699951171875,1780300,364.20745849609375,COST
2021-06-04,384.19000244140625,387.760009765625,383.7099914550781,387.5199890136719,1765900,367.67041015625,COST
2021-06-07,385.4700012207031,386.45001220703125,378.57000732421875,380.3999938964844,2515800,360.9151916503906,COST
2021-06-08,380.4100036621094,381.2099914550781,377.69000244140625,379.70001220703125,1553800,360.25103759765625,COST
2021-06-09,380.2099914550781,381.7799987792969,379.1300048828125,379.9599914550781,1398900,360.4977111816406,COST
2021-06-10,380.2699890136719,383.3599853515625,379.489990234375,383.010009765625,1404000,363.3915100097656,COST
2021-06-11,383.8599853515625,383.8599853515625,380.5299987792969,381.8299865722656,1404200,362.2718811035156,COST
2021-06-14,380.7900085449219,383.9800109863281,379.0799865722656,383.760009765625,1652600,364.1030578613281,COST
2021-06-15,383.760009765625,384.5,381.55999755859375,383.9100036621094,1252000,364.245361328125,COST
2021-06-16,384.3999938964844,386.44000244140625,377.1199951171875,379.4100036621094,1801700,359.97589111328125,COST
2021-06-17,380.3800048828125,386.4700012207031,379.2099914550781,384.75,1686500,365.04248046875,COST
2021-06-18,384.75,384.9100036621094,380.29998779296875,380.8800048828125,3415700,361.3706359863281,COST
2021-06-21,382.25,387.6499938964844,380.55999755859375,386.79998779296875,1631600,366.9873352050781,COST
2021-06-22,387.0199890136719,392.5,386.55999755859375,392.17999267578125,1934800,372.091796875,COST
2021-06-23,393.0,393.44000244140625,390.5899963378906,391.9700012207031,1538000,371.89251708984375,COST
2021-06-24,393.4200134277344,395.5,391.79998779296875,392.07000732421875,1487300,371.98748779296875,COST
2021-06-25,392.9700012207031,394.54998779296875,391.25,394.510009765625,2056100,374.302490234375,COST
2021-06-28,395.0,397.4200134277344,393.1300048828125,396.5400085449219,1645500,376.2284851074219,COST
2021-06-29,396.29998779296875,399.44000244140625,395.4700012207031,398.7900085449219,1523600,378.3631896972656,COST
2021-06-30,397.9700012207031,400.4700012207031,395.0,395.6700134277344,2031700,375.403076171875,COST
2021-07-01,396.29998779296875,397.69000244140625,393.8800048828125,394.5299987792969,1523400,374.3214111328125,COST
2021-07-02,396.2099914550781,400.7699890136719,396.1099853515625,398.94000244140625,1676600,378.50555419921875,COST
2021-07-06,399.8399963378906,401.3999938964844,397.1099853515625,398.8599853515625,2113100,378.42962646484375,COST
2021-07-07,399.20001220703125,406.1199951171875,399.20001220703125,404.67999267578125,2308600,383.9515380859375,COST
2021-07-08,403.5,408.6400146484375,403.1600036621094,407.1499938964844,2235500,386.2948913574219,COST
2021-07-09,408.54998779296875,414.0,407.5899963378906,412.3699951171875,2304200,391.24755859375,COST
2021-07-12,414.0400085449219,414.3500061035156,404.5299987792969,407.8800048828125,2491300,386.98760986328125,COST
2021-07-13,404.70001220703125,409.2900085449219,404.70001220703125,407.05999755859375,1540300,386.2095642089844,COST
2021-07-14,408.5799865722656,410.4700012207031,407.260009765625,409.95001220703125,1265800,388.9515075683594,COST
2021-07-15,410.4599914550781,412.20001220703125,407.8800048828125,411.82000732421875,1894100,390.7257995605469,COST
2021-07-16,412.1199951171875,413.4200134277344,409.7699890136719,410.3699951171875,1413900,389.3499755859375,COST
2021-07-19,410.05999755859375,415.32000732421875,410.04998779296875,414.1499938964844,2293100,392.9364318847656,COST
2021-07-20,414.0,418.07000732421875,412.8500061035156,416.239990234375,2045400,394.9193420410156,COST
2021-07-21,417.1099853515625,417.1099853515625,412.2200012207031,415.010009765625,1480000,393.75250244140625,COST
2021-07-22,416.0,418.6000061035156,413.54998779296875,417.5400085449219,1339200,396.1528625488281,COST
2021-07-23,418.2900085449219,423.989990234375,417.04998779296875,423.42999267578125,1344500,401.7411193847656,COST
2021-07-26,423.3999938964844,424.5,420.3500061035156,423.2300109863281,1220000,401.5513916015625,COST
2021-07-27,424.0,424.55999755859375,421.6000061035156,424.3399963378906,1666500,402.6044921875,COST
2021-07-28,423.2699890136719,424.8599853515625,420.5400085449219,422.2200012207031,1362700,400.59307861328125,COST
2021-07-29,421.67999267578125,425.8500061035156,420.3599853515625,425.2799987792969,1434200,404.2527770996094,COST
2021-07-30,425.9800109863281,431.5,425.94000244140625,429.7200012207031,2283900,408.47320556640625,COST
2021-08-02,430.6199951171875,430.7099914550781,425.4800109863281,428.9200134277344,1366900,407.71270751953125,COST
2021-08-03,429.9200134277344,436.79998779296875,429.1199951171875,435.07000732421875,1448100,413.5587158203125,COST
2021-08-04,436.0,437.989990234375,432.8900146484375,435.0400085449219,1280500,413.53021240234375,COST
2021-08-05,437.75,443.5,436.7300109863281,443.19000244140625,1742600,421.2771911621094,COST
2021-08-06,442.7300109863281,443.4599914550781,438.8999938964844,439.6300048828125,1789800,417.8931579589844,COST
2021-08-09,440.6499938964844,442.7799987792969,439.30999755859375,440.4700012207031,1472500,418.6916809082031,COST
2021-08-10,440.6600036621094,443.79998779296875,440.6600036621094,443.0299987792969,1893700,421.1251525878906,COST
2021-08-11,445.5,448.0,441.79998779296875,444.29998779296875,2267500,422.33233642578125,COST
2021-08-12,443.0,446.6300048828125,442.25,445.3599853515625,1230700,423.3398132324219,COST
2021-08-13,445.7799987792969,448.3599853515625,444.5400085449219,447.82000732421875,1309300,425.6783142089844,COST
2021-08-16,447.9100036621094,453.19000244140625,447.04998779296875,452.8599853515625,1515600,430.4691162109375,COST
2021-08-17,452.8599853515625,453.7799987792969,449.70001220703125,452.3399963378906,1936700,429.9747619628906,COST
2021-08-18,450.9599914550781,455.239990234375,445.8999938964844,446.2099914550781,2030100,424.14788818359375,COST
2021-08-19,442.95001220703125,455.5,441.30999755859375,454.260009765625,1953700,431.7998352050781,COST
2021-08-20,455.489990234375,460.6199951171875,453.6600036621094,458.989990234375,1911200,436.29595947265625,COST
2021-08-23,457.2699890136719,459.05999755859375,454.5899963378906,454.92999267578125,1835900,432.4367370605469,COST
2021-08-24,455.25,455.3900146484375,450.29998779296875,451.7900085449219,1541700,429.45196533203125,COST
2021-08-25,450.8299865722656,452.82000732421875,447.32000732421875,451.2300109863281,1520600,428.9196472167969,COST
2021-08-26,451.2300109863281,452.4800109863281,446.70001220703125,449.30999755859375,1418600,427.09466552734375,COST
2021-08-27,449.30999755859375,451.6199951171875,446.79998779296875,450.3399963378906,1310200,428.07366943359375,COST
2021-08-30,451.0400085449219,456.5899963378906,450.44000244140625,455.92999267578125,1219800,433.3872985839844,COST
2021-08-31,456.1400146484375,456.8800048828125,452.44000244140625,455.489990234375,1699000,432.9690246582031,COST
2021-09-01,455.4800109863281,456.67999267578125,451.8500061035156,456.5199890136719,1325400,433.9480895996094,COST
2021-09-02,459.4200134277344,461.44000244140625,458.3900146484375,460.9700012207031,1455000,438.1780700683594,COST
2021-09-03,459.0,463.6000061035156,459.0,462.54998779296875,1302400,439.6799011230469,COST
2021-09-07,462.5,463.20001220703125,457.6300048828125,459.6000061035156,1463400,436.8758239746094,COST
2021-09-08,459.1099853515625,465.8299865722656,458.0799865722656,465.70001220703125,1372000,442.6742858886719,COST
2021-09-09,467.3399963378906,469.7699890136719,465.239990234375,465.94000244140625,1398700,442.9023742675781,COST
2021-09-10,467.1700134277344,468.3999938964844,463.20001220703125,465.1600036621094,1324800,442.160888671875,COST
2021-09-13,467.05999755859375,468.239990234375,458.20001220703125,459.6600036621094,1679500,436.932861328125,COST
2021-09-14,460.95001220703125,462.20001220703125,457.4200134277344,458.4100036621094,1383900,435.7447204589844,COST
2021-09-15,458.239990234375,462.25,456.1400146484375,460.7300109863281,1770300,437.9499206542969,COST
2021-09-16,460.7900085449219,463.7699890136719,456.57000732421875,463.30999755859375,1577500,440.4024353027344,COST
2021-09-17,461.6199951171875,462.82000732421875,457.0199890136719,459.510009765625,3411400,436.79034423828125,COST
2021-09-20,456.6300048828125,460.95001220703125,446.6199951171875,451.1400146484375,2602000,428.83416748046875,COST
2021-09-21,451.1400146484375,456.8399963378906,450.1600036621094,452.1099853515625,1531300,429.7561950683594,COST
