provider,feed,source_type,symbol,date,chunk_id,chunk_start,chunk_end,path,export_status,row_count,first_timestamp,last_timestamp,error,dry_run_flag,secret_value_logged_flag,historical_live_ready_flag
alpaca,sip,trades,AMD,2024-01-02,1430_1530,2024-01-02T14:30:00Z,2024-01-02T15:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AMD\date=2024-01-02\chunk=1430_1530.parquet,EXPORTED,182016,2024-01-02T14:30:00.001178448Z,2024-01-02T15:29:59.988373715Z,,0,0,0
alpaca,sip,trades,AMD,2024-01-02,1530_1630,2024-01-02T15:30:00Z,2024-01-02T16:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AMD\date=2024-01-02\chunk=1530_1630.parquet,EXPORTED,86874,2024-01-02T15:30:00.008396941Z,2024-01-02T16:29:59.776221700Z,,0,0,0
alpaca,sip,trades,AMD,2024-01-02,1630_1730,2024-01-02T16:30:00Z,2024-01-02T17:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AMD\date=2024-01-02\chunk=1630_1730.parquet,EXPORTED,57574,2024-01-02T16:30:00.030944926Z,2024-01-02T17:29:59.675963929Z,,0,0,0
alpaca,sip,trades,AMD,2024-01-02,1730_1830,2024-01-02T17:30:00Z,2024-01-02T18:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AMD\date=2024-01-02\chunk=1730_1830.parquet,EXPORTED,48908,2024-01-02T17:30:00.031581635Z,2024-01-02T18:29:59.739556358Z,,0,0,0
alpaca,sip,trades,AMD,2024-01-02,1830_1930,2024-01-02T18:30:00Z,2024-01-02T19:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AMD\date=2024-01-02\chunk=1830_1930.parquet,EXPORTED,48418,2024-01-02T18:30:00.071351379Z,2024-01-02T19:29:59.981113713Z,,0,0,0
alpaca,sip,trades,AMD,2024-01-02,1930_2030,2024-01-02T19:30:00Z,2024-01-02T20:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AMD\date=2024-01-02\chunk=1930_2030.parquet,EXPORTED,63346,2024-01-02T19:30:00.074443431Z,2024-01-02T20:29:59.891278020Z,,0,0,0
alpaca,sip,trades,AMD,2024-01-02,2030_2100,2024-01-02T20:30:00Z,2024-01-02T21:00:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AMD\date=2024-01-02\chunk=2030_2100.parquet,EXPORTED,53929,2024-01-02T20:30:00.003594847Z,2024-01-02T20:59:59.999305751Z,,0,0,0
