report_dir,relative_path,source_path,target_path,artifact_class,size_bytes,archive_state,migration_action,reference_count,references,directory_reference_count,directory_references
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_continuation_decision_log.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_continuation_decision_log.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_continuation_decision_log.csv,decision,126431119,archive_candidate,keep_small_or_report_artifact,0,,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_decision_snapshot_log.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_decision_snapshot_log.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_decision_snapshot_log.csv,decision,592378205,archive_candidate,keep_small_or_report_artifact,1,src/backtest/build_task406_deterministic_decision_rebuild.py,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_entry_candidate_log.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_entry_candidate_log.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_entry_candidate_log.csv,large_panel,465947726,archive_candidate,skip_referenced,3,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_filter_component_audit.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_filter_component_audit.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_filter_component_audit.csv,small_table,4693,archive_candidate,keep_small_or_report_artifact,0,,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_leakage_audit.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_leakage_audit.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_leakage_audit.csv,small_table,534,archive_candidate,keep_small_or_report_artifact,0,,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_policy_comparison_audit.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_policy_comparison_audit.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_policy_comparison_audit.csv,small_table,386,archive_candidate,keep_small_or_report_artifact,0,,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,multifactor_rejected_candidate_audit.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_rejected_candidate_audit.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/multifactor_rejected_candidate_audit.csv,small_table,174809,archive_candidate,keep_small_or_report_artifact,0,,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,source_discipline_audit.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/source_discipline_audit.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/source_discipline_audit.csv,small_table,369,archive_candidate,keep_small_or_report_artifact,0,,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,task_401_decision.csv,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/task_401_decision.csv,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/task_401_decision.csv,decision,629,archive_candidate,keep_small_or_report_artifact,0,,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
task_401_forward_live_canonical_multifactor_decision_layer,task_401_forward_live_canonical_multifactor_decision_layer.md,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/task_401_forward_live_canonical_multifactor_decision_layer.md,data/artifacts/task_401_forward_live_canonical_multifactor_decision_layer/task_401_forward_live_canonical_multifactor_decision_layer.md,report,2454,archive_candidate,keep_small_or_report_artifact,0,,6,src/backtest/build_decision_labelability_audit_402r.py|src/backtest/build_forward_live_canonical_multifactor_decision_layer_401.py|src/backtest/build_refined_archetype_portfolio_rebuild_405.py|src/backtest/build_task401_exact_label_generation_404.py|src/backtest/build_task406_deterministic_decision_rebuild.py|tasks/archive_candidate_registry.csv
