task_id,artifact_path,bucket,requested_families,requested_symbols,requested_apply,allow_network_requested,network_calls_made,db_mutation_made,collection_apply_mode,diagnostic_only,execution_permitted,broker_mutation_permitted,paper_promotion_permitted,live_order_enabled,real_capital_permitted
TASK-4121,docs/reports/task_4121_l0_stage_3_realtime_scheduler_setup_and_execution/scheduler_runtime_artifacts/gdelt_news_discovery_15m_run1_20260629T074500Z.json,2026-06-29T07:45:00Z,,,1,0,0,0,AUDIT_ONLY_NO_PROVIDER_EXECUTION,1,0,0,0,0,0
TASK-4121,docs/reports/task_4121_l0_stage_3_realtime_scheduler_setup_and_execution/scheduler_runtime_artifacts/gdelt_news_discovery_15m_run2_20260629T074500Z.json,2026-06-29T07:45:00Z,,,1,0,0,0,AUDIT_ONLY_NO_PROVIDER_EXECUTION,1,0,0,0,0,0
TASK-4121,docs/reports/task_4121_l0_stage_3_realtime_scheduler_setup_and_execution/scheduler_runtime_artifacts/marketaux_news_free_30m_run1_20260629T073200Z.json,2026-06-29T07:32:00Z,,,1,0,0,0,AUDIT_ONLY_NO_PROVIDER_EXECUTION,1,0,0,0,0,0
TASK-4121,docs/reports/task_4121_l0_stage_3_realtime_scheduler_setup_and_execution/scheduler_runtime_artifacts/marketaux_news_free_30m_run2_20260629T073200Z.json,2026-06-29T07:32:00Z,,,1,0,0,0,AUDIT_ONLY_NO_PROVIDER_EXECUTION,1,0,0,0,0,0
TASK-4121,docs/reports/task_4121_l0_stage_3_realtime_scheduler_setup_and_execution/scheduler_runtime_artifacts/official_news_sources_15m_run1_20260629T074500Z.json,2026-06-29T07:45:00Z,,,1,0,0,0,AUDIT_ONLY_NO_PROVIDER_EXECUTION,1,0,0,0,0,0
TASK-4121,docs/reports/task_4121_l0_stage_3_realtime_scheduler_setup_and_execution/scheduler_runtime_artifacts/official_news_sources_15m_run2_20260629T074500Z.json,2026-06-29T07:45:00Z,,,1,0,0,0,AUDIT_ONLY_NO_PROVIDER_EXECUTION,1,0,0,0,0,0
